geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
101	37.5355	37.5355	-122.166266666667	-122.166266666667
102	37.5833	37.5833	-122.2083	-122.2083
103	37.6033	37.6033	-122.3028	-122.3028
104	37.6797	37.6797	-122.2367	-122.2367
105	37.7195	37.7195	-122.2708	-122.2708
106	37.702	37.702	-122.3667	-122.3667
107	37.605	37.605	-122.2858	-122.2858
108	37.6758	37.6758	-122.3297	-122.3297
109	37.7392	37.7392	-122.3533	-122.3533
110	37.7881833333333	37.7881833333333	-122.356183333333	-122.356183333333
211	37.8447333333333	37.8447333333333	-122.388033333333	-122.388033333333
212	37.8545	37.8545	-122.3527	-122.3527
213	37.8325	37.8325	-122.427166666667	-122.427166666667
214	37.8656666666667	37.8656666666667	-122.401666666667	-122.401666666667
215	37.888	37.888	-122.4242	-122.4242
216	37.9208	37.9208	-122.4363	-122.4363
317	37.9890166666667	37.9890166666667	-122.409033333333	-122.409033333333
318	38.0213	38.0213	-122.345	-122.345
319	38.0403	38.0403	-122.2855	-122.2855
320	38.0626666666667	38.0626666666667	-122.317166666667	-122.317166666667
321	38.0662	38.0662	-122.3675	-122.3675
322	38.053	38.053	-122.4138	-122.4138
323	38.0187	38.0187	-122.43	-122.43
324	37.9825	37.9825	-122.412	-122.412
325	38.03	38.03	-122.3717	-122.3717
326	38.0403333333333	38.0403333333333	-122.2855	-122.2855
427	38.0355	38.0355	-122.1522	-122.1522
428	38.062	38.062	-122.1053	-122.1053
429	38.0858333333333	38.0858333333333	-122.076833333333	-122.076833333333
430	38.1082	38.1082	-122.055	-122.055
431	38.1052	38.1052	-122.028	-122.028
432	38.0425	38.0425	-122.108	-122.108
433	38.0601166666667	38.0601166666667	-121.982816666667	-121.982816666667
534	38.07145	38.07145	-121.9562	-121.9562
535	38.0473166666667	38.0473166666667	-121.917666666667	-121.917666666667
736	38.0603333333333	38.0603333333333	-121.804333333333	-121.804333333333
837	38.0245	38.0245	-121.76	-121.76
140	37.50185	37.50185	-122.116183333333	-122.116183333333
141	37.65	37.65	-122.266666666667	-122.266666666667
142	37.7618333333333	37.7618333333333	-122.305333333333	-122.305333333333
243	37.8842	37.8842	-122.4012	-122.4012
244	37.9237	37.9237	-122.468	-122.468
345	37.9975	37.9975	-122.4242	-122.4242
346	38.0555	38.0555	-122.3	-122.3
447	38.0559166666667	38.0559166666667	-122.178333333333	-122.178333333333
750	38.0846666666667	38.0846666666667	-121.75	-121.75
751	38.1055	38.1055	-121.717	-121.717
752	38.1042	38.1042	-121.7125	-121.7125
853	38.0285	38.0285	-121.737	-121.737
760	38.1523333333333	38.1523333333333	-121.684833333333	-121.684833333333
